uid	text
2873484191	Человек прислоняется к стене на улице.
472535997	Две маленькие девочки в розовом цвете танцуют.
4847077399	Женщина с длинными темными волосами, синей футболкой и джинсами, несущей кремовую длинноволосную собаку в синем мешочке, в то время как несколько женщин и мужчина улыбнулись и смотрели.
3354063643	коричневая и белая собака, рычащая в снегу
5769937988	Два азиатских повара готовит.
2206501278	Гримсман на свадьбе демонстрирует навыки поднятия хула перед камерами и подружками невесты.
11205420	Человек, одетый в белый, ходит по желтой веревке на землю, которая прикреплена к рулям велосипеда.
2569800008	Женщина в шортах держит ребенка среди толпы в основном детей на улице в большом фонтане.
6762541983	Голый мужчина прыгает в быстрый поток.
3686612004	Событие со многими людьми собралось вместе, одно из которых стоит с костюмом, который включает в себя маску и перчатки некоторых материалов.
254178173	Две женщины пересекают пересечение.
4774595499	Группа людей на лодке в воде.
2632381125	Две собаки кусают фрисби в пруду.
2407091303	Ребенок играет на детской площадке.
2953015871	Собака катится на его спине.
1044798682	Парень работает над зданием.
1745110280	Коричневая собака носит черный воротник.
3246363139	Ребенок в сером зимнем пальто и голубых снежных ботинках недоволен, обнаружив, что их театр, покрытый снегом.
2473018628	Три человека просеивают через тюки сена.
1389156021	Трое детей, две девочки и один мальчик, в позициях боевого искусства, стоящие на полу в большой комнате.
382138122	Две леди убирают немного горшка.
2148013097	Трое молодых мальчиков смотрят через окно.
2394824046	Монах молятся перед статуей Будды.
7261359916	Три офицера копают дыру в пустыне.
2722956572	Дети сидят на кирпичной стене.
2914163048	Несколько маленьких детей выбирают из контейнеров с красочными начинками конфет для своего ванильного мороженого, в то время как взрослые выкапывают его, в миски.
2967123604	Маленькая девочка ест завтрак с отцом.
2245551446	Рабочие сортируют предметы в грузовике.
4628050549	Человек, одетый как статуя Свободы, носит халат, на его лице нарисовано голубовато -цвет и держит тот же тип пламени в правой руке.
4859725388	Человек с нетерпением играет скрипку на сцене.
3731647457	плыву по реке в сумерках
781118358	Кудрявый мальчик подпрыгивает на кровать.
112550433	Женщина в апельсиновом топе и черных спортивных штанах прыгает с руками перед океаном на пляже.
3307667255	Занятый рынок в арабской стране.
2922981282	Молодая пара, лежащая на кровати вместе
4756836245	Молодая пара только что помолвлена.
3476957636	Человек лежит на снегу.
4851939948	Мужчина в шляпе и теннисной обуви сидит на гранитном выступе рядом с мальчиком, который снял свои теннисные туфли.
4630116750	Человек в красной куртке изгибается.
2834752476	Молодой человек сидит на диване и курит.
6283123175	Девочки волейбола тренируется.
2688337844	Женщина делает жемчужное ожерелье.
912382266	Двое мужчин, одетых в полосатые синие рубашки поло, сидят за столом в комнате с другими людьми и широкими окнами.
2705103961	Старик просто танцует с женщиной.
131840964	Мальчик на велосипеде на тротуаре.
211981411	Грязная машина в водопроводе
7024549111	Молодой мальчик в голубой куртке наблюдает, как что -то распиливается, пока он носит защитные очки.
5192523054	Мужчина, носящий плотные зеленые штаны, и ни одна рубашка делает стойку на руках на крошечной платформе на шесте.
6046473448	Водитель педикаба, ожидающий его велосипеда
4948875390	Улица с кафе и закусочной в Италии.
3139287876	Женщина и мужчина смотрят в глаза друг другу, в праздничных мексиканских костюмерах и, похоже, маршируют на параде.
2940974439	Мужчина держит двоих детей на руках.
6190299977	Три футболиста, один одет в белую рубашку, на другой - бордовая рубашка, а на третьем - желтая рубашка, все смотрят на футбольный мяч.
47325915	Группа играет музыку на сцене.
4792134256	Женщина в белой и светло -зеленой куртке и другая женщина в фиолетовой рубашке, оба в шляпах, сидят за столом, наблюдая за кулинарным огнем.
3341920567	Автомобили едут по городской улице.
204886976	Металлическое литье двух мужчин в костюмах, едущих на велосипедах вдоль третьего лица, скелета, в инвалидной коляске.
4824883554	Человек, стоящий перед стеклянной дверью.
480074435	Джентльмен играет акустическую гитару.
2537034263	Люди стоят за пределами рынка.
1277743944	Мальчик, одетый в шорты Хаки и красная рубашка, протекает по пляжу с зелеными, белыми и синими сооружениями и полулужным позади него.
7036939605	Два хоккеиста находятся в середине матча, а человек слева находится в процессе размахивания своей палкой в ​​попытке забить.
1570723692	Две собаки и щенок.
3295671644	Маленькая собака стоит в поле.
3187096035	Люди сидят на диване смеются.
2093272744	Двое мужчин улыбаются друг другу.
4106948497	Старший мужчина в красной толстовке стоит перед группой детей, сидящих на скамейках перед ним.
2617242703	Человек во всем синем, делает искры.
3310349604	Два младенца в глазном стекле
396698013	Двое мужчин в шляпе держали бумагу на балконе
6862894029	Человек на горном велосипеде, который носит наряд гонщика с полным шлемом для лица, выпрыгивает от грязи.
2504269717	Человек скалолазание в лесу.
3433259846	Девушка в классе балета
290629328	Работник из дерева, работающий на токарном старе.
4004035933	Куча людей в фургоне, улыбаясь.
284441196	Собака бежит в поле.
2925577165	Дождливая дорога ночью.
2230260635	Человек на пляже с зонтиком.
2661437618	Маленькая собака, преследующая мяч.
1145718750	Мужчина в красной рубашке рисует статую.
5302864546	Группа, практикующая зрителями.
4542010975	Человек, несущий большой пакет с едой.
2466495935	Молодые мальчики играют в футбол.
2285847538	Старик со очками работает над ткацким стажком.
3800647959	Мальчик в синем играет с собакой.
3084018061	Трое мужчин стоят в баре с напитками.
4037734292	Человек лежит на оживленном городском тротуаре.
2287313464	Загар темноволосая женщина в солнцезащитных очках и красном бикини смотрит на ее коричневый кресло.
4770979319	Женщина в красочной местной одежде с синей рубашкой с красочным дизайном демонстрирует свои темные волосы, плетеные с красными лентами.
4797784790	Человек в синей рубашке, белая шляпа и голубые джинсы, с коричневой сумкой на спине, ездя на велосипеде на тротуаре, проходя мимо стоп -света.
4499880603	Толпа людей сидит на травяном склоне холма, наблюдая, как три молодые девушки танцуют в праздничных красных и синих костюмах.
4923692902	Молодые женщины отдыхают от покупок.
3355494822	Одинокий лыжник, лыжный через снег.
55470226	Человек, держащий чашку на снежной горе.
8008888211	Женщина со светловолосой в красной, белой и синей чирлидирующей одежде держит белую футболку, чтобы потерять сознание.
241347150	Американский футболист в красном наряде атакует игрока в Уайт, который бежит с мячом, в то время как другие игроки находятся поблизости.
10919429	Мужчина в черной рубашке и черные брюки, работающий над двигателем старого зеленого антикварного автомобиля, с желтой газовой канистром, сидящей на траве.
4910169752	Младшие дети играют в игру в поле.
2921806371	Человек в зеленом пальто и клетчатом шарфе носит очки и читает книгу за синим фоном.
4857583977	Пожилая женщина, держащая новорожденного ребенка.
2511762757	Собака прыгает с собачьего прыжка.
2666078276	Собака из воротника прыгает в воздух.
1096165011	Улыбающийся мальчик плавает под водой в бассейне.
1234293791	Девушка едет на лошади.
2230620391	Ребенок играет с черной бусин.
3523920786	Коричневая собака, протекающая по грунтовой дороге.
4804599874	Мужчина и улыбающаяся женщина сидят за обеденным столом с множеством пластиковых стаканчиков, когда человек рядом с ними ест палки для еды.
2500826039	Пара поцелуев.
4787867133	Человек продает мексиканскую еду на парковке.
6453399365	Мужчины играют в футбол на грязном поле.
5506385451	Молодая девушка из азиатского наследия плавает в большой миске в водопроводе, используя весло.
6135433028	Футболисты, одетые в желтую, синюю и белую форму, играют против других игроков, одетых в золото, и синий на стадионе.
6229825733	Три строителя шутят на лодке, оставляя мост, над которым они работают.
3512166877	Белый ребенок чистят волосы.
2314377503	Пожилой мужчина, сидящий вдоль желтой кирпичной стены, покрытой серой платкой и в красном тюрбане.
7723452818	Мужчина -гонщик сохраняет равновесие, в то время как его бык ударил его задние ноги, пытаясь отбросить гонщика.
3223973114	Серый собака бежит.
2553188198	Коричневая и белая собака, уходящая от черной и коричневой собаки с теннисным мячом во рту, стоя в воде.
2605373150	Женщина поджарит свой ужин.
533602654	Двое детей играют под металлической статуей.
2374652725	Маленькая собака и большая собака на снегу.
3675345761	Человек, читающий книжку с картинками ребенку.
4071525091	Многие бегуны бегут в мероприятии.
4595984953	Люди фотографируют в здании.
2537586970	Большой кран, поднимающий объект.
2322601965	Две молодые девушки одетый формально
1078621572	Большая группа людей, путешествующих по сельской дороге в задней части небольшого пикапа, в то время как один человек идет в сторону грузовика.
4787520787	Пожилой мужчина играет на гитаре
4431313468	Подростковые мальчики смотрят соревнования.
2940522002	Блондинка среднего возраста, одетая в черный топ без рукавов, белые штаны и хмурый взгляд на транзитной остановке.
4964794183	На переднем плане мужчина в полосатой рубашке пьет что -то из бутылки, а позади него стоят две женщины с темными волосами и черными рубашками перед толпой в городской обстановке.
4866857449	Ребенок в оранжевой рубашке работает.
4693475539	Человек, идущий в метро.
11214205	Мужчины с отражающими куртками безопасности работают на уличном перекрестке со многими оранжевыми отражающими шишками.
3272621068	Один человек делает брейк на голове с серебряным шлемом, а другой играет музыку, пока зрители проходят мимо
4784816870	Человек стоит за черными воротами.
3712008738	Девушка в воде впитывает солнце.
170540666	Многие люди идут, чтобы бороться с раком молочной железы.
2131716223	Лабораторный работник звонит по телефону.
2705860464	Трое детей, блондинка и два брюнета, играют в Доктора с манекеном, лежащим на фиолетовом столе.
2898189446	Пара идет по грунтовой улице.
4143318041	Человек в клетчатом фартуке очищает стол.
2572817235	Женщина произносит речь.
223424495	Маленький ребенок держался за руки с женщиной, и пройтись мимо стены с номером 93, нарисованным на ней.
386160015	Две собаки, играющие на покрытой снежной земле
2398918048	Женщины на улице держат флаг.
1526181215	Собака прыгает в воду.
4689976046	Кто -то ходит по двум розовым собакам.
60644154	Молодой блондин играет с куклом.
3366424545	Группа людей, сидящих издалека.
3512003488	Пять человек, стоящих на сцене, готовясь к выступлению, которые неузнаваемы из -за отсутствия освещения.
2949353587	Собачья дергает на куске ткани.
3426452139	Группа мальчиков, играющих в баскетбол.
2569563041	Есть большая группа людей, стоящих в траве, большинство из которых держат руки в воздухе.
213973239	Мальчик в шляпе держит петух.
19366040	Группа людей что -то ждет.
2392763642	Две женщины просматривают экран проектора.
4077598908	Пять чернокожих мужчин в белом пальто, а их головы бритые работают в лаборатории, глядя под микроскоп.
4537327075	Репортеры собираются для бейсбольной практики.
157616263	Женщина сидит рядом с ее внедорожником, у которого открыта дверь багажника, в то время как мужчина стоит у другой открытой двери.
2308271254	Две собаки играют на берегу.
2547956926	Три женщины и одна молодая девушка, все с белыми цветами в волосах, сидят лицом вперед.
3838759720	Пожилой мужчина в клетчатой ​​рубашке, голубых джинсах и ботинках находится в лагере, просматривая телескоп в дневное небо.
2864340145	Черная собака, идущая через воду.
7504941054	Два художника по боевым искусствам, один из которых носил в основном белый, а один-в основном черный, сражаясь, в то время как зритель с красными часами на заднем плане.
3177468217	Колли перепрыгивает через белый прыжок с ловкостью
4000008650	Ирландская группа где -то играет по дороге.
3042604058	Группа друзей, подбадривавших телевизора.
354999632	Человек за некоторыми мешками внутри иглу.
3717258171	Несколько женщин танцуют и прыгают.
5661511576	Две женщины копаются в грязи.
3113605032	Группа женщин, одетых в черные топы и штаны, стоят и вытягивают руки в сторону в унисон.
2272491304	Пять человек катаются на лыжах на снежных склонах.
2655196158	Серая собака жевает игрушку.
2226343167	Женщина в юбке, разорванных чулках и боевых ботинках, а также мужчина в авиаторах и майку Бэтмена прогуливаются по городской улице.
4614816401	Парень играет на гитаре и поет в своей группе.
3352697012	Две женщины борются на арене.
70645290	Малыш плачет рядом с машиной.
3205247535	Четыре чирлидера, одетые в ярко -голубые толстовки, черные короткие шорты и коленные носки, выступают посреди баскетбольной площадки.
1690926854	Два товарища по команде из команды США прыгают в воздухе, чтобы дать пять лет, а два товарища по команде смотрят.
6926013620	В руке содержится сито с небольшим количеством жидкости с столом с бункерами на заднем плане.
4435816665	Это воздушная картина двух мужчин, стоящих рядом друг с другом, один человек касается плеча другого.
3126795109	Парень, играющий в баскетбол.
3079787482	Маленькая девочка обнимает еще одну маленькую девочку.
947969010	Черная собака с коричневой дулой рядом с водоемой, сотрясающей воду с палкой во рту.
128395941	Два человека ездят на велосипеде рядом с железной дорогой.
2050742372	Молодой человек в камуфляжных штанах и красной рубашке делает частичное раскол в рамках танцевального представления.
3381700783	На заднем плане стоят две монахини, одетые в белые привычки и синие бумаги, а на переднем плане выступает мима в белой одежде и белая маска.
314567175	Человек готовит еду в большом горшке.
3182558164	Школьный баскетбольный матч находится.
5529428571	Три человека копаются в земле.
2127570593	Рок -группа играет за толпу людей.
4486617530	Молодая женщина -подростка идет.
6664029089	Парень в зеленой и черной слоистой футболке с синими джинсами и черными рабочими ботинками прыгает с бетонной зеркальной стеной на заднем плане.
281271503	Человек ездит на высоком одностороннем велосипеде и жонглирует булавками одновременно, в то время как многие зрители смотрят и аплодируют.
3367851138	Лодка пришвартована в гавани.
1089354362	Женщина в зеленой рубашке и джинсах становится на колени на наклоне с кофе в руке, ее сумочку рядом с ней и большую дверь позади нее, когда она заполняет документы.
445259867	Дети в каноэ, плывущих по реке.
3223973114	Коричневая собака бежит на улице.
4729751945	Уличные продавцы по всему азиатскому рынку.
428911994	Группа выступает на сцене для людей.
4924401216	Двое мужчин указывают на мясо в окне.
2322820623	Группа детей в возрасте колледжа, сидящая в доме с настольной игрой на деревянном журнальном столике.
4809260553	Молодой человек с длинными темными волосами носит красное пальто с воротником в стиле мандарина и играет желтую электрогитару.
4893568355	Человек, спящий под окном.
2087332880	Два человека собираются пересечь улицу.
4782269293	Полицейский патрулирует на велосипеде.
244360246	Несколько мужчин общаются под палаткой.
4964694718	Человек смотрит на старую школьную коробку.
4855691043	Коричневая лошадь стоит на заднем плане, в то время как мужчина в белой ковбойской шляпе и синей рубашке с длинными рукавами уходит.
4788653947	Пожилая женщина положила ногу на ходунке.
5500138655	Двое мужчин играют в хоккей вместе
2891961886	Человек делает трюк на скейтборде
7197647874	Счастливый футбол, одетый в белом униформе, выводит мяч перед другой командой, которая одета в красное.
3239866450	Сноубордист получает воздух ночью.
2846785268	Роллерблэйдер измельчение желтого дорожного барьера
3816009475	Человек в родео упал с быка.
442322125	Мальчик сожалеет об игре на настольную игру.
470373679	Люди смотрят в окно в горы.
3187492926	Человек погружается в чистую голубую воду.
3205882067	Ребенок с мохнатыми, прямыми песчаными волосами поднимает смесь с ошибкой, чтение «Radeo» рядом с радиопроизводственным набором.
2266901263	Дети носят футбольную форму.
3313232606	Группа футболистов проходит на круге.
2774020195	Три маленьких мальчика играют в буфту
2841909138	Женщина с хвостиком в персиковой рубашке, белых брюках хаки и черными сандалиями сидит возле магазина на плетеной скамейке, когда она пишет на блокноте.
2871691966	Католическая месса происходит.
2869009633	Четыре девушки играют в волейбол.
4360907086	Спортсмен бросает копье.
1625306051	Двое мужчин прыгают в воздух.
2268207503	Дама толкает коляску за ребенком, ездя на трехколесном велосипеде, а другой ребенок идет вдоль стороны.
5073999931	В том, что кажется общежитием колледжа, группа студентов сидит на шагах; Некоторые используют технологии, а другие просто расслабляют и общаются.
4130028176	Женщина сидит и играет музыку.
5714048502	Женщина работает на компьютере.
311403792	Человек в очках держит что -то до вращающегося кусочка круговой машины, и искры вылетают от него.
3442519111	Пожилая женщина в красочном платье, кожаной куртке и черной шляпе сидит на скамейке перед древней стеной.
360723732	Собака стоит на задних ногах с вытянутыми лапами, неся красный предмет во рту.
5605133486	Мужчина вырезает говядину в ресторане.
3448101413	Человек на табурет, создающий искусство на городском тротуаре.
2957671910	В этой группе людей двое мужчин находятся в военном камуфляже, а один пожимает руку женщине.
4757950870	Женщины ходят по многолюдному тротуару.
4768114318	Группа людей собирается вокруг.
2891715589	Большой матч, за которым следят тысячи людей, и человек, держащий его рубашку в рубашках, поднимается на железную башню.
469969326	Женщина сидит на скале у воды.
3334057289	Собака в поле.
2871962580	Американский футболист в белой полосе, который несет мяч, преследует другой игрок в черной полосе.
2249034258	Женщина, разговаривающая по мобильному телефону, и мужчина с усами выходит вверх по лестнице из подземного метро.
2374570771	Собака проходит через воду.
4770851749	Маленькая девочка готовит еду.
2349386416	Человек в шляпе создает цифровую музыку.
